name,description,rating,price,,availability,product_url,listing_page_url
"Gretsch Drums 14""X6,5"" Renown Maple CB","Martie 2019 / 462506 / 1 bucată(ăţi) / 6,5"" / Red / No / Yes / Lacquer, Matt / Maple / No / Chrome",5.0 din 5 stele din 1 evaluări ale clienților,1835.00,1835.00,în stoc,https://www.thomann.de/ro/gretsch_14_x65_renown_maple_cb.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Slingerland 14""x6.5"" Radio King Snare BDP","626180 / 1 bucată(ăţi) / 6,5"" / Black / No / No / foil / Mahogany, Poplar / No / Nickel",,,#VALUE!,Disponibil in 3-4 Saptamani,https://www.thomann.de/ro/slingerland_14x65_radio_king_snare_bdp.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Mapex 14""x5,5"" Pegasus Snare","Septembrie 2020 / 497114 / 1 bucată(ăţi) / 5,5"" / Natural / No / No / Lacquer, High Gloss / Maple, Walnut / No / Black Nickel, Satin",5.0 din 5 stele din 1 evaluări ale clienților,2399.00,2399.00,Disponibil în timp scurt (de obicei 2-5 zile),https://www.thomann.de/ro/mapex_14_x55_pegasus_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Sonor 14""x5,75"" Vintage Snare Red Oy","Octombrie 2017 / 423827 / 1 bucată(ăţi) / 5,75"" / Red / No / No / foil / Beech / No / Chrome",,"4,09",4090.00,în stoc,https://www.thomann.de/ro/sonor_14_x575_vintage_snare_red_oy.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Slingerland 14""x5.5"" Radio King Snare WMP","626177 / 1 bucată(ăţi) / 5,5"" / White / No / No / foil / Mahogany, Poplar / No / Nickel",,,#VALUE!,Disponibil in 3-4 Saptamani,https://www.thomann.de/ro/slingerland_14x55_radio_king_snare_wmp.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"DrumCraft Series 6 14""x05"" Snare -SN","Iulie 2022 / 523842 / 1 bucată(ăţi) / 5"" / Natural / No / No / Lacquer, Matt / Maple, Walnut / No / Satin Chrome",5.0 din 5 stele din 1 evaluări ale clienților,799.00,799.00,în stoc,https://www.thomann.de/ro/drumcraft_series_6_14_x05_snare_sn.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Gretsch Drums 14""X5,5"" Renown Maple VP","Martie 2017 / 408694 / 1 bucată(ăţi) / 5,5"" / White / No / No / foil / Maple / No / Chrome",3.0 din 5 stele din 2 evaluări ale clienților,1733.00,1733.00,în stoc,https://www.thomann.de/ro/gretsch_14_x55_renown_maple_vp.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Slingerland 14""x5.5"" Radio King Snare BDP","626176 / 1 bucată(ăţi) / 5,5"" / Black / No / No / foil / Mahogany, Poplar / No / Nickel",,,#VALUE!,Disponibil in 3-4 Saptamani,https://www.thomann.de/ro/slingerland_14x55_radio_king_snare_bdp.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Gretsch Drums 14""X5,5"" Renown Maple GN","Aprilie 2017 / 408696 / 1 bucată(ăţi) / 5,5"" / Natural / No / No / Lacquer, High Gloss / Maple / No / Chrome",4.9 din 5 stele din 10 evaluări ale clienților,1777.00,1777.00,în stoc,https://www.thomann.de/ro/gretsch_14_x55_renown_maple_gn.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"DrumCraft Series 6 16""x14"" Floor Tom BVB","Octombrie 2022 / 523583 / 1 bucată(ăţi) / Blue / No / Yes / Lacquer, High glossy / Maple, Walnut / Satin Chrome",,1111.00,1111.00,în stoc,https://www.thomann.de/ro/drumcraft_series_6_16_x14_floor_tom_bvb.htm?type=category,https://www.thomann.de/ro/cazane_16_inci.html?pg=2
"DW PDP 14""x12"" Floor Tom White",Octombrie 2020 / 506021 / 1 bucată(ăţi) / White / No / No / Film / Maple / Chrome,,1777.00,1777.00,la cerere,https://www.thomann.de/ro/dw_pdp_14_x12_floor_tom_white.htm?type=category,https://www.thomann.de/ro/cazane_14_inci.html?pg=2
"DrumCraft Series 6 14""x14"" Floor B-Stock","Noiembrie 2022 / 623410 / 1 bucată(ăţi) / Red / No / Yes / Paint, high-gloss / Maple, Walnut / Satin Chrome",,759.00,759.00,în stoc,https://www.thomann.de/ro/drumcraft_series_6_14x14_floor_b_stock_623410.htm?type=category,https://www.thomann.de/ro/cazane_14_inci.html?pg=2
"Pearl 14""x14"" Export FT Mid. B-Stock",Iulie 2025 / 623532 / 1 bucată(ăţi) / Blue / No / No / Film / Poplar / Chrome,,788.00,788.00,în stoc,https://www.thomann.de/ro/pearl_14x14_export_ft_mid_b_stock.htm?type=category,https://www.thomann.de/ro/cazane_14_inci.html?pg=2
"DrumCraft Series 6 10""x07"" Tom T B-Stock","Iulie 2022 / 553065 / 1 bucată(ăţi) / White / Maple, Walnut / Paint, high-gloss",,,#VALUE!,în stoc,https://www.thomann.de/ro/drumcraft_series_6_10x07_tom_t_b_stock.htm?type=category,https://www.thomann.de/ro/tomtom-uri_10_inci.html?pg=2
"Pearl 08""x07"" Export TT Add-On GST",Iulie 2025 / 615346 / 1 bucată(ăţi) / Silver / Poplar / Foil,,718.00,718.00,în stoc,https://www.thomann.de/ro/pearl_08x07_export_tt_add_on_gst.htm?type=category,https://www.thomann.de/ro/tomtom-uri_8_inci.html?pg=2
"Zultan 10"" Razor Disc B-Stock",Septembrie 2025 / 627331 / 1 bucată(ăţi),,231.00,231.00,în stoc,https://www.thomann.de/ro/zultan_10_razor_disc_b_stock.htm?type=category,https://www.thomann.de/ro/cinele_de_efect.html?pg=2
"Thon Cymbal Case 24"" B-Stock","Mai 2012 / 535799 / 1 bucată(ăţi) / Case / 24"" / 7 / No / No / Brown",,645.00,645.00,în stoc,https://www.thomann.de/ro/thon_cymbal_case_24_b_stock_535799.htm?type=category,https://www.thomann.de/ro/huse_si_cutii_pt_cinele_1.html?pg=2
Sabian Stratus Promotional Set,"Mai 2024 / 591581 / 1 bucată(ăţi) / 1x Hi-Hat, 1x Ride, 2x Crash / No / B20",,4799.00,4799.00,Disponibilitate medie (aprox. 1-2 săptămâni),https://www.thomann.de/ro/sabian_stratus_promotional_set.htm?type=category,https://www.thomann.de/ro/seturi_de_cinele.html?pg=2
Dragonfly Percussion DPSB Stick Bag,Noiembrie 2020 / 505902 / 1 bucată(ăţi) / Cordura / Yes / No,,999.00,999.00,în stoc,https://www.thomann.de/ro/dragonfly_percussion_dpsb_stick_bag.htm?type=category,https://www.thomann.de/ro/huse_pt_bete_de_toba3.html?pg=2
